TOPIC,SUBTOPIC,TAXONOMY,CLASSIFICATION,GROUP,GROUP_ID,SUBGROUP,SUBGROUP_ID,NESTING_LABEL,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,,2019,5.7,4.8,6.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,,2020,5.1,4.4,6.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,,2021,4.8,4.0,5.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,,2022,4.9,4.1,5.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,,2023,4.5,3.8,5.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,,2024,5.2,4.5,6.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,,2019,6.4,5.4,7.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,,2020,5.7,4.8,6.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,,2021,6.2,5.2,7.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,,2022,6.3,5.3,7.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,,2023,5.7,4.8,6.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,,2024,5.7,4.8,6.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,,2019,1.2,1.1,1.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,,2020,1.0,0.9,1.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,,2021,1.1,0.9,1.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,,2022,1.2,1.0,1.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,,2023,1.2,1.0,1.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,,2024,1.1,1.0,1.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,,2019,3.2,2.9,3.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,,2020,2.7,2.4,3.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,,2021,2.8,2.5,3.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,,2022,3.2,2.8,3.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,,2023,2.9,2.6,3.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,,2024,2.8,2.5,3.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,,2019,0.6,0.5,0.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,,2020,0.5,0.4,0.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,,2021,0.5,0.4,0.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,,2022,0.4,0.3,0.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,,2023,0.5,0.4,0.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,,2024,0.6,0.4,0.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,,2019,1.7,1.5,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,,2020,1.5,1.3,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,,2021,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,,2022,1.8,1.5,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,,2023,1.7,1.4,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,,2024,1.7,1.5,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,,2019,2.4,2.0,2.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,,2020,2.2,1.7,2.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,,2021,2.3,1.8,2.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,,2022,2.4,1.9,3.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,,2023,3.0,2.4,3.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,,2024,2.4,1.9,3.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,,2019,4.7,3.7,5.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,,2020,4.6,3.7,5.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,,2021,3.3,2.7,4.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,,2022,4.2,3.2,5.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,,2023,4.1,3.3,5.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,,2024,4.2,3.4,5.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,,2019,1.1,0.7,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,,2020,0.8,0.4,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,,2021,1.1,0.7,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,,2022,1.0,0.6,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,,2023,1.0,0.6,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,,2024,0.9,0.5,1.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,,2019,0.6,0.4,0.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,,2020,0.6,0.3,0.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,,2021,0.8,0.6,1.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,,2022,0.7,0.5,0.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,,2023,0.5,0.3,0.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,,2024,0.6,0.4,0.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,,2019,1.7,1.5,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,,2020,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,,2021,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,,2022,1.8,1.6,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,,2023,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,,2024,1.7,1.5,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,,2019,1.4,1.0,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,,2020,0.8,0.5,1.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,,2021,1.3,1.0,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,,2022,1.2,0.9,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,,2023,1.5,1.1,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,,2024,1.2,1.0,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native only,21,,2019,1.7,0.5,4.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native only,21,,2021,2.8,1.1,5.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native only,21,,2023,2.1,0.7,4.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,,2019,1.1,0.6,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,,2020,0.9,0.4,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,,2021,1.0,0.6,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,,2022,1.4,0.8,2.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,,2023,0.8,0.5,1.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,,2024,1.4,0.8,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,,2019,1.4,1.0,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,,2020,1.4,0.9,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,,2021,1.0,0.7,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,,2022,1.1,0.8,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,,2023,1.2,0.8,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,,2024,0.9,0.6,1.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,,2019,1.8,1.6,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,,2020,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,,2021,1.6,1.5,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,,2022,1.8,1.6,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,,2023,1.8,1.6,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,,2024,1.8,1.6,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native and White,26,,2020,2.2,0.7,5.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,,2020,0.1,0.0,3.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,,2021,1.1,0.1,4.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,,2022,0.7,0.0,4.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,,2024,1.4,0.2,5.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,,2019,1.5,1.1,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,,2020,0.7,0.4,1.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,,2021,1.1,0.8,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,,2022,1.2,0.9,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,,2023,1.3,1.0,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,,2024,0.9,0.6,1.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,,2019,1.3,0.8,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,,2020,0.8,0.5,1.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,,2021,0.8,0.5,1.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,,2022,0.9,0.5,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,,2023,1.1,0.8,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,,2024,0.6,0.4,1.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,,2019,1.7,1.5,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,,2020,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,,2021,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,,2022,1.7,1.5,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,,2023,1.7,1.5,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,,2024,1.7,1.6,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,,2019,1.3,0.9,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,,2020,1.4,0.9,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,,2021,1.1,0.7,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,,2022,1.0,0.7,1.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,,2023,1.3,0.9,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,,2024,1.0,0.6,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,,2019,1.8,1.6,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,,2020,1.7,1.5,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,,2021,1.7,1.5,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,,2022,1.9,1.7,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,,2023,1.8,1.6,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,,2024,1.9,1.7,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,,2019,1.3,0.9,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,,2020,1.2,0.8,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,,2021,1.5,1.0,2.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,,2022,1.5,0.9,2.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,,2023,1.1,0.7,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,,2024,1.6,1.1,2.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,,2019,1.6,1.4,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,,2020,1.3,1.1,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,,2021,1.3,1.1,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,,2022,1.4,1.2,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,,2023,1.4,1.2,1.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,,2024,1.3,1.1,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,,2019,1.7,1.5,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,,2020,1.6,1.4,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,,2021,1.7,1.5,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,,2022,1.9,1.7,2.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,,2023,1.8,1.6,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,,2024,1.9,1.7,2.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,,2019,2.3,0.9,4.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,,2020,0.8,0.1,3.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,,2021,1.0,0.3,2.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,,2022,0.6,0.1,1.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,,2023,0.1,0.0,0.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,,2024,0.6,0.1,1.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Gay or Lesbian,37,,2019,1.3,0.3,3.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Gay or Lesbian,37,,2020,1.1,0.3,2.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Gay or Lesbian,37,,2021,0.8,0.2,1.8
